concept_id	entry_id	dag	dag_translit	dag_translat	target_lang	target_lang_gltc	source	comment_source_entry	sep_entry_id	category_from_source	source_lexeme	translit_source	translit	translat_source	en_dict	ru_dict	comment_concept	comment_concept_source	comment_annotator	concept_source	donor_lang	donor_lang_gltc
1	11	аллахІ	NA	NA	Agul	aghu1253	zabitov2001	NA	9	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	13	аллагь	NA	NA	Archi	arch1244	zabitov2001	NA	11	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	1	аллагь	NA	NA	Avar	avar1256	zabitov2001	NA	1	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	5	аллагь	NA	NA	Bezhta	bezh1248	zabitov2001	NA	5	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	2	алагь	NA	NA	Botlikh	botl1242	zabitov2001	NA	2	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	14	аллагь	NA	NA	Budukh	budu1248	zabitov2001	NA	12	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	4	аллагь	NA	NA	Chamalal	cham1309	zabitov2001	NA	4	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	15	аллахІ	NA	NA	Chechen	chec1245	zabitov2001	NA	13	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	8	аллагь	NA	NA	Dargwa	darg1241	zabitov2001	NA	7	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	3	аллагьи	NA	NA	Godoberi	ghod1238	zabitov2001	NA	3	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	7	аллагь	NA	NA	Lak	lakk1252	zabitov2001	NA	7	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	9	аллагь	NA	NA	Lezgian	lezg1247	zabitov2001	NA	8	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	12	аллагь	NA	NA	Rutul	rutu1240	zabitov2001	NA	10	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	10	аллагь	NA	NA	Tabasaran	taba1259	zabitov2001	NA	8	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
1	6	аллагь	NA	NA	Tsez	dido1241	zabitov2001	NA	6	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	الله	ˀallau	ˀallāh	Бог	NA	бог, Аллах	NA	NA	NA	zabitov2001	Arabic	stan1318
2	18	халикь	NA	творец, создатель	Agul	aghu1253	zabitov2001	NA	14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	خالق	xâliq	ḫāliq	творец, создатель	NA	творец, создатель	NA	NA	NA	zabitov2001	Arabic	stan1318
2	17	халикь	NA	творец, создатель	Lezgian	lezg1247	zabitov2001	NA	14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	خالق	xâliq	ḫāliq	творец, создатель	NA	творец, создатель	NA	NA	NA	zabitov2001	Arabic	stan1318
2	16	халикь	NA	творец, создатель	Tabasaran	taba1259	zabitov2001	NA	14	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	خالق	xâliq	ḫāliq	творец, создатель	NA	творец, создатель	NA	NA	NA	zabitov2001	Arabic	stan1318
3	24	кьиямат	NA	NA	Agul	aghu1253	zabitov2001	NA	20	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	19	кьиямат	NA	NA	Avar	avar1256	zabitov2001	(уст.)	15	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	20	къиямасеб къо	NA	NA	Avar	avar1256	zabitov2001	NA	16	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	22	кьиямасса кьини	NA	NA	Lak	lakk1252	zabitov2001	NA	18	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	23	къиямат	NA	NA	Lezgian	lezg1247	zabitov2001	NA	19	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	25	кьиямат	NA	NA	Rutul	rutu1240	zabitov2001	NA	20	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
3	21	къийамаса гъуди	NA	NA	Tsez	dido1241	zabitov2001	NA	17	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	قيامة‎	qijāma[t]	qiyāmat	конец света; воскресение мертвых, страшный суд	NA	рел. воскресение	NA	Об осетинском слове с кавказскими параллелями см. [Абаев 1973: 256].	NA	zabitov2001	Arabic	stan1318
4	32	ахират	NA	NA	Agul	aghu1253	zabitov2001	NA	25	Религионзные понятия; названия существ и явлений, связанных с потусторонним миром	آخرة	ˀaxira[t]	ʔāḫirat	конец, загробный (потусторонний) мир, загробная жизнь	NA	1. ж. от آخِرٌ последний, конечный; 2. конец, окончание; * ~ ال загробная жизнь	NA	Слово представлено и в абхазско-адыгских языках: адыгск. ахърэт абх. ахъарат абаз. ахърат убых. ахьрет 'загробный мир' [см. Шагиров 1977 I: 65].	NA	zabitov2001	Arabic	stan1318
